# DO NOT EDIT THIS FILE MANUALLY.
# Use the CLI instead.
#
# FROM-URL	TO-URL
/de/docs/-moz-locale-dir(ltr)	/de/docs/Web/CSS/:-moz-locale-dir_ltr
/de/docs/-moz-locale-dir(rtl)	/de/docs/Web/CSS/:-moz-locale-dir_rtl
/de/docs/::file-selector-button	/de/docs/Web/CSS/::file-selector-button
/de/docs/<img>	/de/docs/Web/HTML/Element/img
/de/docs/AJAX	/de/docs/Learn_web_development/Core/Scripting/Network_requests
/de/docs/AJAX/Community	/de/docs/Learn_web_development/Core/Scripting/Network_requests
/de/docs/AJAX/Getting_Started	/de/docs/Learn_web_development/Core/Scripting/Network_requests
/de/docs/AJAX/WAI_ARIA_Live_Regions	/de/docs/Web/Accessibility/ARIA/ARIA_Live_Regions
/de/docs/AJAX/WAI_ARIA_Live_Regions_API_Support	/de/docs/Mozilla/Firefox/Releases/3/WAI_ARIA_Live_Regions_API_Support
/de/docs/AJAX:Community	/de/docs/Learn_web_development/Core/Scripting/Network_requests
/de/docs/AJAX:Getting_Started	/de/docs/Learn_web_development/Core/Scripting/Network_requests
/de/docs/AJAX:WAI_ARIA_Live_Regions/API_Support	/de/docs/Mozilla/Firefox/Releases/3/WAI_ARIA_Live_Regions_API_Support
/de/docs/AJAX:WAI_ARIA_Live_Regions_API_Support	/de/docs/Mozilla/Firefox/Releases/3/WAI_ARIA_Live_Regions_API_Support
/de/docs/API	/de/docs/Web/API
/de/docs/API/File/Basic_Concepts_About_the_File_API	/de/docs/Web/API/File_System_API
/de/docs/API/File/Basic_concepts_about_file_api	/de/docs/Web/API/File_System_API
/de/docs/API/Full_Screen_API	/de/docs/Web/API/Fullscreen_API
/de/docs/API/Fullscreen	/de/docs/Web/API/Fullscreen_API
/de/docs/API/Fullscreen_API	/de/docs/Web/API/Fullscreen_API
/de/docs/API/Gamepad	/de/docs/Web/API/Gamepad_API/Using_the_Gamepad_API
/de/docs/API/Gamepad/Using_Gamepad_API	/de/docs/Web/API/Gamepad_API/Using_the_Gamepad_API
/de/docs/API/Mouse_Lock	/de/docs/Web/API/Pointer_Lock_API
/de/docs/API/Mouse_Lock_API	/de/docs/Web/API/Pointer_Lock_API
